account;outcome;evaluation;industry;propensity;contract;date;amount;days
1;Lost;None;Government;Good;Monthly;01-01-2022;4.985.353.308.725.060;31.410.859.963.469.200
2;Won;None;Government;Good;Annual;01-01-2022;3.924.919.109.374.180;1.927.408.090.183.380
3;Won;None;Manufacturing;Good;Annual;01-01-2022;4.121.412.773.248.270;22.824.855.007.098.300
4;Won;B;Academia;Good;Annual;01-01-2022;3.806.080.832.578.930;3.418.189.788.626.400
5;Won;None;Manufacturing;Good;Monthly;01-01-2022;4.371.765.886.431.390;3.685.427.438.886.310
6;Lost;None;Energy;Good;Monthly;01-01-2022;4.696.323.135.030.860;11.007.546.812.096.900
7;Lost;A;Manufacturing;Good;Annual;01-01-2022;4.126.509.513.664.220;3.081.334.197.312.330
8;Lost;None;Academia;Good;Monthly;01-01-2022;39.449.781.114.482;29.144.503.864.198.500
9;Lost;B;Manufacturing;Average;Monthly;01-01-2022;4.032.478.354.432.910;22.436.733.458.171.700
10;Lost;None;Manufacturing;Good;Annual;01-01-2022;44.941.267.659.803.200;24.188.444.303.879.100
11;Lost;None;Academia;Poor;Monthly;01-01-2022;3.806.277.594.586.970;22.773.712.194.683.700
12;Won;B;Manufacturing;Good;Annual;01-01-2022;3.917.069.878.348.400;16.093.058.861.540.600
13;Lost;B;Manufacturing;Average;Monthly;01-01-2022;36.344.509.072.530.600;27.679.950.803.783.000
14;Won;None;Government;Average;Annual;01-01-2022;5.289.778.790.253.740;3.601.835.328.187.790
15;Lost;A;Manufacturing;Average;Monthly;01-01-2022;49.894.065.620.335.200;3.301.631.266.096.770
16;Lost;None;Energy;Average;Annual;01-01-2022;4.394.446.183.572.260;11.508.127.169.670.300
17;Won;B;Government;Poor;Annual;01-01-2022;4.846.753.435.726.800;3.109.169.474.441.170
18;Won;B;Academia;Good;Monthly;01-01-2022;3.754.090.458.024.780;14.063.348.966.638.700
19;Won;B;Academia;Good;Annual;01-01-2022;52.676.638.085.991.900;42.482.685.167.721.000
20;Won;B;Government;Average;Annual;01-01-2022;4.652.970.715.734.460;3.009.807.389.082.780
21;Lost;B;Manufacturing;Good;Monthly;01-01-2022;47.580.750.357.004.500;44.728.943.589.923.900
22;Lost;None;Government;Good;Monthly;01-01-2022;4.934.121.763.143.500;3.390.223.777.436.890
23;Lost;A;Energy;Good;Monthly;01-01-2022;48.831.319.852.446.200;39.184.754.800.561.300
24;Lost;A;Energy;Good;Monthly;01-01-2022;5.005.805.331.078.190;28.024.901.254.074.500
25;Lost;None;Manufacturing;Average;Annual;01-01-2022;4.342.666.040.347.550;4.201.247.062.713.970
26;Won;B;Government;Good;Annual;01-01-2022;5.074.139.589.332.560;33.311.755.616.628.500
27;Won;None;Energy;Average;Monthly;01-01-2022;56.198.081.084.107.500;4.348.006.891.923.890
28;Lost;B;Academia;Poor;Monthly;01-01-2022;3.819.956.043.026.810;2.141.651.953.266.110
29;Lost;B;Academia;Average;Monthly;01-01-2022;3.920.579.222.207.080;35.474.161.958.398.500
30;Won;A;Energy;Poor;Monthly;01-01-2022;557.952.942.345.927;5.198.891.073.449.690
31;Won;B;Government;Good;Monthly;01-01-2022;5.340.354.155.906.290;49.898.104.857.843.700
32;Lost;B;Manufacturing;Good;Annual;01-01-2022;3.622.983.328.605.230;28.013.631.323.002.000
33;Lost;B;Manufacturing;Good;Monthly;01-01-2022;44.783.107.437.918.400;35.929.967.046.812.600
34;Won;A;Government;Good;Monthly;01-01-2022;3.261.472.113.633.600;2.284.143.810.569.410
35;Won;A;Academia;Good;Monthly;01-01-2022;48.550.372.422.670.900;3.227.888.243.190.440
36;Won;B;Academia;Average;Annual;01-01-2022;3.385.446.432.516.730;23.129.867.740.788.800
37;Won;None;Government;Good;Monthly;01-01-2022;46.177.042.921.996.000;3.990.645.270.759.730
38;Won;None;Energy;Good;Annual;01-01-2022;4.988.945.475.436.750;27.517.889.766.628.000
39;Lost;A;Government;Average;Monthly;01-01-2022;5.022.189.308.800.950;4.778.986.336.753.820
40;Lost;A;Academia;Good;Annual;01-01-2022;3.127.363.013.510.790;20.974.715.836.482.300
41;Lost;B;Government;Good;Monthly;01-01-2022;4.855.186.904.447.050;37.799.543.578.998.100
42;Lost;B;Energy;Good;Monthly;01-01-2022;51.305.645.671.626.400;307.477.579.254.056
43;Won;B;Government;Good;Annual;01-01-2022;4.289.706.923.017.840;3.972.105.684.566.560
44;Won;B;Manufacturing;Average;Annual;01-01-2022;4.835.895.609.194.640;10.082.053.087.365.200
45;Lost;A;Government;Average;Annual;01-01-2022;46.956.447.483.355.800;29.223.865.828.104.600
46;Won;None;Manufacturing;Good;Annual;01-01-2022;4.022.890.966.924.080;22.602.138.690.483.500
47;Won;B;Government;Average;Monthly;01-01-2022;497.266.069.915.345;2.636.048.034.418.080
48;Won;B;Academia;Good;Annual;01-01-2022;3.786.182.452.223.130;2.371.008.012.510.710
49;Won;B;Energy;Good;Annual;01-01-2022;4.427.484.462.041.360;2.480.432.012.085.070
50;Lost;None;Manufacturing;Good;Monthly;01-01-2022;4.199.939.210.925.320;4.218.039.592.262.760
51;Won;B;Government;Average;Annual;01-01-2022;4.857.043.938.160.080;51.765.015.050.831.200
52;Lost;None;Manufacturing;Good;Annual;01-01-2022;3.981.055.243.465.400;30.845.778.093.862.200
53;Won;B;Government;Good;Annual;01-01-2022;3.538.013.130.316.610;15.686.386.115.978.700
54;Lost;None;Energy;Poor;Monthly;01-01-2022;4.483.483.320.403.210;273.107.372.350.575
55;Lost;B;Academia;Poor;Annual;01-01-2022;3.421.655.441.778.850;28.525.411.565.582.400
56;Lost;A;Government;Good;Monthly;01-01-2022;5.448.410.901.188.720;31.564.899.831.498.400
57;Won;None;Government;Average;Monthly;01-01-2022;4.035.028.789.420.130;28.062.391.968.688.100
58;Won;A;Government;Average;Annual;01-01-2022;4.613.640.883.612.380;31.098.114.329.391.300
59;Lost;None;Manufacturing;Good;Monthly;01-01-2022;4.307.737.889.892.910;2.986.421.511.645.960
60;Lost;B;Energy;Good;Monthly;01-01-2022;4.610.556.706.748.870;2.438.049.502.256.900
61;Won;B;Government;Average;Monthly;01-01-2022;5.192.330.996.038.550;42.491.561.486.996.600
62;Lost;A;Finance;Average;Monthly;01-01-2022;56.177.118.020.618.300;21.321.171.540.220.400
63;Won;A;Government;Good;Monthly;01-01-2022;5.251.379.760.135.980;57.978.994.132.138.500
64;Lost;A;Government;Good;Annual;01-01-2022;45.047.307.941.508.600;260.453.932.004.728
65;Won;B;Manufacturing;Poor;Annual;01-01-2022;4.209.155.646.523.030;26.541.100.123.549.000
66;Lost;None;Manufacturing;Poor;Monthly;01-01-2022;46.703.485.592.693.500;14.430.288.483.689.300
67;Lost;None;Government;Good;Monthly;01-01-2022;5.527.829.085.436.690;3.826.738.648.360.430
68;Lost;None;Government;Good;Annual;01-01-2022;4.523.271.582.462.320;20.125.535.664.039.500
69;Lost;A;Manufacturing;Average;Monthly;01-01-2022;4.813.396.139.390.300;2.433.313.531.653.160
70;Won;B;Energy;Good;Monthly;01-01-2022;52.994.382.110.437.500;2.571.607.387.788.820
71;Lost;None;Manufacturing;Average;Annual;01-01-2022;44.745.388.421.259.700;3.383.426.635.709.050
72;Lost;None;Government;Poor;Annual;01-01-2022;42.686.420.514.221.500;23.931.985.040.705.900
73;Lost;B;Manufacturing;Average;Monthly;01-01-2022;4.554.802.849.447.190;3.349.759.883.584.170
74;Lost;B;Government;Good;Monthly;01-01-2022;51.358.147.681.523.700;4.181.241.186.168.430
75;Won;B;Government;Poor;Annual;01-01-2022;5.201.106.568.866.550;31.285.568.196.479.900
76;Lost;None;Academia;Poor;Annual;01-01-2022;33.924.261.367.750.500;10.859.852.725.890.600
77;Won;A;Government;Good;Monthly;01-01-2022;51.999.010.172.561.100;3.653.655.269.488.810
78;Lost;None;Manufacturing;Poor;Annual;01-01-2022;4.219.670.555.565.260;2.180.827.787.066.240
79;Lost;A;Energy;Poor;Monthly;01-01-2022;5.317.687.448.157.610;37.974.859.750.024.100
80;Won;A;Government;Average;Annual;01-01-2022;3.972.209.512.591.580;14.431.967.373.967.200
81;Lost;None;Manufacturing;Good;Annual;01-01-2022;4.357.763.281.066.370;26.438.816.587.334.000
82;Lost;None;Manufacturing;Good;Annual;01-01-2022;37.270.681.935.948.500;9.900.679.643.374.690
83;Lost;A;Manufacturing;Good;Annual;01-01-2022;3.693.832.269.536.930;13.297.361.974.130.400
84;Won;B;Manufacturing;Average;Annual;01-01-2022;3.471.660.579.939.920;1.910.930.145.133.810
85;Lost;None;Energy;Average;Annual;01-01-2022;4.760.014.396.931.810;343.824.757.326.898
86;Won;A;Manufacturing;Good;Monthly;01-01-2022;454.647.454.434.838;9.738.595.286.916.580
87;Won;B;Government;Average;Monthly;01-01-2022;46.845.117.041.356.100;3.920.874.600.624.660
88;Lost;A;Manufacturing;Good;Monthly;01-01-2022;47.323.693.698.631.700;2.561.673.004.941.210
89;Lost;None;Manufacturing;Average;Annual;01-01-2022;3.473.711.395.336.510;23.003.443.842.389.100
90;Won;None;Energy;Good;Monthly;01-01-2022;5.320.021.616.978.890;2.795.270.623.668.710
91;Lost;None;Government;Average;Monthly;01-01-2022;5.425.204.701.613.610;4.113.187.214.540.370
92;Lost;None;Manufacturing;Good;Annual;01-01-2022;4.467.857.623.474.220;3.979.271.201.387.260
93;Lost;B;Manufacturing;Good;Monthly;01-01-2022;4.884.542.663.190.250;37.315.655.972.549.800
94;Won;B;Government;Good;Annual;01-01-2022;4.525.858.831.007.400;2.134.791.906.159.800
95;Lost;None;Government;Poor;Annual;01-01-2022;4.813.710.670.416.630;4.079.355.842.376.410
96;Won;A;Government;Average;Monthly;01-01-2022;5.353.325.047.319.830;40.686.365.420.625.700
97;Lost;A;Energy;Good;Monthly;01-01-2022;5.418.864.093.629.780;30.267.307.236.323.400
98;Won;A;Government;Good;Monthly;01-01-2022;4.982.530.932.904.590;21.476.300.966.572.400
99;Won;B;Energy;Good;Monthly;01-01-2022;54.129.753.554.839.800;11.685.617.776.206.500
100;Lost;A;Government;Average;Monthly;01-01-2022;4.884.715.607.061.990;4.411.668.307.159.490
101;Won;B;Government;Good;Monthly;01-01-2022;5.045.949.196.514.980;38.528.212.006.288.300
102;Lost;None;Academia;Good;Monthly;01-01-2022;3.910.614.708.999.170;5.327.798.700.207.830
103;Won;B;Manufacturing;Poor;Annual;01-01-2022;43.555.201.102.228.000;20.747.256.367.465.700
104;Lost;B;Manufacturing;Average;Annual;01-01-2022;3.531.158.624.941.720;5.143.716.228.656.520
105;Won;None;Academia;Average;Annual;01-01-2022;3.732.232.267.371.840;10.499.244.850.462.300
106;Won;B;Government;Poor;Monthly;01-01-2022;4.112.736.863.075.230;38.340.470.986.389.100
107;Won;B;Manufacturing;Good;Annual;01-01-2022;4.423.263.109.289.530;19.290.556.633.021.700
108;Won;B;Government;Good;Annual;01-01-2022;3.416.775.845.833.460;12.556.158.482.878.200
109;Won;A;Manufacturing;Poor;Annual;01-01-2022;43.857.694.456.535.800;4.638.893.089.914.600
110;Won;A;Energy;Average;Annual;01-01-2022;4.692.676.158.865.660;3.414.126.964.628.120
111;Won;B;Energy;Good;Annual;01-01-2022;4.318.492.018.984.670;15.747.397.982.656.800
112;Won;None;Academia;Average;Monthly;01-01-2022;4.051.421.970.648.100;3.130.723.686.053.410
113;Lost;None;Government;Poor;Annual;01-01-2022;4.559.372.373.138.790;26.789.878.581.580.300
114;Lost;B;Manufacturing;Average;Monthly;01-01-2022;4.856.394.291.316.990;31.972.688.053.093.200
115;Won;None;Government;Good;Annual;01-01-2022;43.998.527.672.010.000;31.267.100.794.813.200
116;Won;B;Academia;Good;Monthly;01-01-2022;41.381.345.475.396.100;26.072.878.307.645.900
